Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
48,Klaytn,KLAY,"$3,964,141,736",$1.57,2.518.117.432 KLAY *,$105.801.398,"0,38%","-0,91%","0,90%"
49,THORChain,RUNE,"$3,459,456,300",$13.45,257.210.215 RUNE *,$94.697.317,"-0,14%","-6,28%","19,08%"
50,eCash,XEC,"$3,383,442,970",$0.0001792,18.883.923.423.313 XEC *,$155.902.575,"0,25%","-3,70%","-5,00%"
51,Quant,QNT,"$3,323,196,114",$275.26,12.072.738 QNT *,$59.834.775,"0,20%","-3,21%","-5,64%"
52,Harmony,ONE,"$3,232,739,788",$0.2999,10.777.691.845 ONE *,$275.711.227,"-0,95%","-8,17%","-2,75%"
53,UNUS SED LEO,LEO,"$3,143,669,212",$3.30,953.954.130 LEO *,$2.632.956,"-0,12%","-0,71%","1,63%"
54,Bitcoin SV,BSV,"$3,112,640,444",$164.82,18.884.545 BSV,$194.593.341,"0,59%","1,72%","-5,02%"
55,Neo,NEO,"$3,108,201,126",$44.06,70.538.831 NEO *,$452.458.695,"-1,05%","4,70%","1,67%"
56,Kusama,KSM,"$3,070,328,717",$362.49,8.470.098 KSM *,$121.436.761,"0,38%","-2,82%","-8,55%"
57,Helium,HNT,"$2,901,010,076",$28.69,101.100.208 HNT,$40.627.515,"-0,58%","-5,66%","38,44%"
58,Waves,WAVES,"$2,817,294,698",$26.44,106.574.320 WAVES *,$110.291.100,"-0,03%","-0,94%","-4,60%"
59,TerraUSD,UST,"$2,789,988,560",$1.00,2.783.140.840 UST *,$87.320.860,"-0,09%","-0,12%","-0,01%"
60,BitTorrent,BTT,"$2,609,871,104",$0.003955,659.952.625.000 BTT *,$958.481.768,"-2,33%","1,81%","10,50%"
61,Chiliz,CHZ,"$2,502,145,626",$0.4212,5.941.076.945 CHZ *,$4.523.975.104,"1,23%","8,66%","33,24%"
62,Maker,MKR,"$2,337,998,752","$2,358.45",991.328 MKR *,$108.662.696,"-1,05%","-1,74%","-2,85%"
63,Stacks,STX,"$2,308,482,187",$1.80,1.281.471.597 STX *,$86.380.931,"-0,26%","-6,22%","-17,64%"
64,Zcash,ZEC,"$2,291,352,120",$176.46,12.985.469 ZEC,$703.128.302,"0,28%","14,50%","-0,40%"
65,Amp,AMP,"$2,110,867,617",$0.04999,42.227.702.186 AMP *,$97.583.356,"-4,92%","9,61%","5,09%"
66,Holo,HOT,"$2,100,711,677",$0.01215,172.895.870.443 HOT *,$394.630.438,"0,15%","13,59%","30,94%"
67,Enjin Coin,ENJ,"$2,076,209,756",$2.49,834.340.660 ENJ *,$1.942.252.947,"-1,03%","-9,34%","41,11%"
68,Celo,CELO,"$2,014,859,850",$6.16,326.913.145 CELO *,$70.681.781,"-0,66%","-2,08%","-6,77%"
69,Dash,DASH,"$2,001,192,355",$192.25,10.409.104 DASH,$349.002.952,"0,14%","5,07%","-6,31%"
70,Compound,COMP,"$1,994,485,928",$331.37,6.018.895 COMP *,$376.579.924,"-1,86%","4,20%","8,38%"
71,Arweave,AR,"$1,852,970,307",$55.49,33.394.701 AR *,$93.855.847,"0,11%","10,61%","8,72%"
72,OMG Network,OMG,"$1,848,946,100",$13.18,140.245.398 OMG *,$586.495.145,"0,09%","-3,29%","-5,95%"
73,Theta Fuel,TFUEL,"$1,840,296,440",$0.3471,5.301.214.400 TFUEL *,$95.051.803,"0,14%","-6,34%","19,28%"
74,Curve DAO Token,CRV,"$1,832,875,516",$4.43,413.487.283 CRV *,$447.713.075,"-0,36%","-10,02%","23,33%"
75,NEM,XEM,"$1,705,131,283",$0.1895,8.999.999.999 XEM *,$152.135.528,"-0,53%","6,79%","10,62%"
76,Huobi Token,HT,"$1,557,892,178",$9.63,161.829.295 HT *,$117.282.385,"-1,57%","3,24%","-5,34%"
77,Nexo,NEXO,"$1,537,491,325",$2.75,560.000.011 NEXO *,$10.381.087,"-1,06%","1,38%","5,61%"
78,Decred,DCR,"$1,506,863,692",$112.00,13.453.844 DCR,$11.381.717,"-0,16%","-2,50%","-8,84%"
79,ICON,ICX,"$1,499,880,626",$2.23,672.705.897 ICX *,$194.253.491,"-0,24%","3,66%","11,32%"
80,Basic Attention Token,BAT,"$1,491,823,385",$1,1.491.829.868 BAT *,$2.585.778.225,"1,19%","-10,64%","44,99%"
81,The Sandbox,SAND,"$1,416,267,063",$1.59,892.246.119 SAND *,$5.448.869.587,"4,51%","7,41%","106,97%"
82,Zilliqa,ZIL,"$1,393,557,960",$0.1167,11.938.793.875 ZIL,$573.316.563,"-0,18%","16,86%","15,07%"
83,Qtum,QTUM,"$1,389,654,680",$14.06,98.824.097 QTUM *,$841.018.906,"0,62%","8,42%","9,15%"
84,KuCoin Token,KCS,"$1,369,290,288",$17.09,80.118.638 KCS *,$27.379.910,"-0,86%","-5,27%","11,43%"
85,SushiSwap,SUSHI,"$1,361,202,440",$10.70,127.244.443 SUSHI *,$205.742.073,"-0,84%","-3,70%","2,35%"
86,Secret,SCRT,"$1,241,392,394",$8.29,149.815.729 SCRT *,$19.806.273,"1,29%","-8,40%","35,72%"
87,yearn.finance,YFI,"$1,235,900,312","$33,733.00",36.638 YFI *,$179.920.589,"0,27%","-1,05%","-1,76%"
88,Mina,MINA,"$1,231,335,671",$4.40,279.985.499 MINA *,$67.376.650,"0,10%","-3,00%","-3,01%"
89,OKB,OKB,"$1,226,311,470",$20.44,60.000.000 OKB *,$412.443.385,"-0,66%","-3,44%","-20,10%"
90,Revain,REV,"$1,213,736,213",$0.01427,85.061.485.690 REV *,$1.939.461,"1,83%","-3,52%","-15,26%"
91,TrueUSD,TUSD,"$1,184,013,242",$1.00,1.183.642.858 TUSD *,$149.080.162,"0,02%","0,02%","-0,04%"
92,Dogelon Mars,ELON,"$1,183,639,630",$0.000002124,557.392.033.328.217 ELON *,$556.850.691,"-7,07%","-0,82%","298,04%"
93,Ravencoin,RVN,"$1,172,037,869",$0.1174,9.985.365.000 RVN,$157.915.601,"0,11%","6,06%","-0,82%"
94,0x,ZRX,"$1,145,865,006",$1.36,845.341.602 ZRX *,$1.444.008.891,"-3,08%","16,48%","37,66%"
95,Bitcoin Gold,BTG,"$1,135,452,085",$64.83,17.513.924 BTG,$43.508.747,"0,19%","1,59%","-3,51%"
96,Perpetual Protocol,PERP,"$1,123,294,857",$16.35,68.700.000 PERP *,$36.298.288,"-0,98%","-1,44%","4,30%"
97,Synthetix,SNX,"$1,121,539,660",$9.77,114.841.533 SNX *,$97.927.768,"-0,10%","-0,97%","3,31%"
98,XDC Network,XDC,"$1,118,802,466",$0.09092,12.305.012.699 XDC *,$4.239.476,"1,20%","-1,22%","-13,15%"
99,Audius,AUDIO,"$1,112,483,635",$2.21,504.078.968 AUDIO *,$119.978.950,"-2,17%","3,94%","-0,22%"
100,Celsius,CEL,"$1,088,054,594",$4.56,238.863.520 CEL *,$6.316.711,"3,34%","-4,15%","-7,51%"
101,Horizen,ZEN,"$1,071,813,354",$91.71,11.687.263 ZEN,$601.195.736,"-2,90%","21,46%","1,74%"
102,Ankr,ANKR,"$1,053,023,713",$0.129,8.162.899.378 ANKR *,$2.834.655.265,"-0,32%","40,11%","42,53%"
103,renBTC,RENBTC,"$1,030,883,980","$60,486.21",17.043 RENBTC *,$11.337.130,"-0,31%","-1,41%","0,80%"
104,Siacoin,SC,"$1,023,119,088",$0.0208,49.183.252.992 SC,$487.472.700,"-3,51%","15,15%","14,77%"
105,Ren,REN,"$1,000,328,728",$1.00,997.664.051 REN *,$50.447.507,"-0,22%","-0,08%","-8,01%"
106,Bancor,BNT,"$987,607,062",$4.16,237.139.434 BNT *,$78.110.469,"-0,72%","-1,38%","2,11%"
107,Telcoin,TEL,"$965,233,122",$0.01764,54.727.110.195 TEL *,$18.341.535,"0,84%","-2,57%","-5,97%"
108,Serum,SRM,"$949,834,176",$7.13,133.231.781 SRM *,$201.989.938,"-0,25%","-0,99%","-3,48%"
109,Pax Dollar,USDP,"$945,729,327",$1.00,945.642.940 USDP *,$9.339.484,"0,01%","-0,03%","-0,03%"
110,Ontology,ONT,"$913,012,386",$1.04,875.249.524 ONT *,$372.577.273,"-3,02%","7,74%","11,56%"
111,IOST,IOST,"$867,374,943",$0.04792,18.099.719.631 IOST *,$109.483.536,"-0,26%","0,81%","-3,06%"
112,dYdX,DYDX,"$841,331,592",$14.93,56.337.466 DYDX *,$174.047.412,"-0,81%","-3,68%","-20,77%"
113,Storj,STORJ,"$818,396,265",$2.33,351.162.917 STORJ *,$3.087.400.984,"-0,34%","81,27%","86,54%"
114,1inch Network,1INCH,"$802,389,976",$4.45,180.362.122 1INCH *,$278.206.828,"-0,36%","-6,33%","18,64%"
115,DigiByte,DGB,"$804,190,939",$0.05433,14.801.735.974 DGB,$94.629.795,"0,54%","16,55%","10,63%"
116,Nano,NANO,"$796,991,666",$5.98,133.248.297 NANO *,$108.827.036,"-0,22%","-3,57%","12,09%"
117,SKALE Network,SKL,"$775,055,503",$0.3666,2.114.148.528 SKL *,$197.073.686,"-3,82%","15,71%","12,19%"
118,Moonriver,MOVR,"$773,149,655",$358.12,2.158.909 MOVR *,$23.985.497,"1,09%","-2,83%","-10,60%"
119,Raydium,RAY,"$763,149,845",$10.32,73.947.333 RAY *,$217.938.061,"-0,61%","-2,59%","3,29%"
120,Mdex,MDX,"$762,458,350",$1.02,743.872.142 MDX *,$30.255.556,"-0,22%","1,21%","-12,10%"
121,Voyager Token,VGX,"$758,517,392",$2.72,278.482.214 VGX *,$8.632.457,"-1,06%","-14,62%","15,74%"
122,Loopring,LRC,"$727,676,247",$0.5503,1.322.208.249 LRC *,$133.535.936,"-1,32%","-0,47%","33,29%"
123,WAX,WAXP,"$726,946,410",$0.4018,1.809.030.051 WAXP *,$1.163.229.768,"1,22%","-4,49%","26,94%"
124,UMA,UMA,"$715,498,503",$11.24,63.648.166 UMA *,$45.714.475,"0,18%","1,94%","-1,67%"
125,Celer Network,CELR,"$707,179,450",$0.1169,6.051.936.993 CELR *,$110.663.329,"0,14%","-4,03%","-18,48%"
126,IoTeX,IOTX,"$668,463,137",$0.07006,9.540.779.324 IOTX *,$127.887.378,"-0,26%","9,41%","7,53%"
127,Gnosis,GNO,"$662,026,174",$440.01,1.504.587 GNO *,$9.633.394,"-0,37%","-0,71%","17,36%"
128,WOO Network,WOO,"$659,282,275",$1.24,531.242.574 WOO *,$20.637.485,"-1,24%","-1,23%","7,51%"
129,Dent,DENT,"$637,358,346",$0.006437,99.007.791.203 DENT *,$170.953.851,"-0,78%","5,12%","12,10%"
130,NuCypher,NU,"$635,437,208",$0.9243,687.500.000 NU *,$231.933.667,"0,72%","-4,85%","-16,14%"
131,SwissBorg,CHSB,"$630,062,167",$0.6301,1.000.000.000 CHSB *,$1.428.513,"-0,41%","-2,26%","-1,71%"
132,WINkLink,WIN,"$606,440,441",$0.0007915,766.149.999.999 WIN *,$735.139.441,"-3,00%","-3,06%","31,14%"
133,Neutrino USD,USDN,"$603,940,086",$0.962,627.821.108 USDN *,$8.737.308,"0,00%","-0,22%","-2,01%"
134,Fetch.ai,FET,"$589,062,405",$0.7895,746.113.681 FET *,$139.783.484,"-3,75%","7,66%","6,40%"
135,Golem,GLM,"$579,709,830",$0.5797,1.000.000.000 GLM *,$134.366.104,"-6,81%","10,20%","8,31%"
136,Livepeer,LPT,"$563,670,565",$26.63,21.164.655 LPT *,$123.913.145,"-3,03%","-1,83%","12,89%"
137,Kava,KAVA,"$550,123,004",$6.02,91.443.180 KAVA *,$172.862.715,"-1,71%","7,13%","6,25%"
138,Nervos Network,CKB,"$545,930,956",$0.01922,28.406.956.568 CKB *,$17.995.775,"1,21%","1,18%","3,42%"
139,Ocean Protocol,OCEAN,"$530,924,039",$0.866,613.099.141 OCEAN *,$61.812.687,"0,76%","7,95%","-0,42%"
140,Polymath,POLY,"$529,209,830",$0.6948,761.698.803 POLY *,$52.690.243,"-2,69%","0,95%","1,31%"
141,Reserve Rights,RSR,"$520,235,876",$0.03953,13.159.998.943 RSR *,$94.958.371,"-0,78%","8,53%","-1,31%"
142,COTI,COTI,"$506,977,487",$0.5836,868.672.118 COTI *,$210.813.350,"2,09%","6,66%","17,15%"
143,Function X,FX,"$500,188,656",$1.22,408.520.357 FX *,$7.579.520,"2,70%","0,72%","-4,83%"
144,GateToken,GT,"$477,501,533",$6.24,76.473.244 GT *,$8.992.640,"2,54%","3,29%","18,49%"
145,Injective Protocol,INJ,"$470,612,279",$10.78,43.655.553 INJ *,$23.365.367,"0,21%","-0,98%","-12,59%"
146,DigitalBits,XDB,"$461,619,453",$0.5941,777.009.768 XDB *,$2.999.860,"-2,42%","11,14%","4,12%"
147,Swipe,SXP,"$453,529,169",$2.35,192.768.789 SXP *,$293.304.898,"-2,17%","7,87%","5,66%"
148,Reef,REEF,"$449,473,972",$0.03035,14.807.552.172 REEF *,$90.257.883,"-0,92%","-2,49%","5,05%"
149,Lisk,LSK,"$448,477,907",$3.48,128.900.445 LSK *,$23.534.478,"-2,22%","2,37%","-5,67%"
150,WazirX,WRX,"$447,601,474",$1.41,317.591.918 WRX *,$94.921.439,"-0,35%","5,44%","8,30%"
151,Alpha Finance Lab,ALPHA,"$446,817,190",$1.00,446.330.126 ALPHA *,$24.435.853,"-0,58%","0,25%","-1,32%"
152,Numeraire,NMR,"$435,230,879",$42.68,10.197.301 NMR *,$18.968.549,"-0,68%","1,97%","-0,26%"
153,Fei USD,FEI,"$423,359,868",$0.9961,424.996.178 FEI *,$34.486.491,"-0,18%","-1,15%","-0,64%"
154,Bitcoin Standard Hashrate Token,BTCST,"$420,859,345",$36.86,11.417.100 BTCST *,$31.015.487,"0,11%","-4,00%","-13,84%"
155,MediBloc,MED,"$395,425,630",$0.07347,5.382.401.140 MED *,$31.237.542,"-0,46%","9,57%","7,16%"
156,VeThor Token,VTHO,"$392,011,044",$0.009401,41.699.193.382 VTHO *,$24.941.466,"-0,05%","-1,29%","-0,68%"
157,Verge,XVG,"$385,554,685",$0.02339,16.483.658.188 XVG,$36.448.501,"-1,50%","4,07%","1,26%"
158,XYO,XYO,"$384,248,991",$0.02991,12.844.821.266 XYO *,$33.057.007,"0,74%","0,03%","-4,94%"
159,BakeryToken,BAKE,"$379,239,100",$1.96,193.529.487 BAKE *,$96.405.642,"-0,71%","1,35%","-1,28%"
160,Cartesi,CTSI,"$377,573,084",$0.7822,482.707.938 CTSI *,$77.325.147,"-0,59%","7,04%","8,07%"
161,OriginTrail,TRAC,"$373,042,225",$1.04,358.528.257 TRAC *,$5.009.002,"0,59%","-5,73%","17,54%"
162,Bitcoin Diamond,BCD,"$362,365,504",$1.94,186.492.898 BCD,$4.794.287,"0,57%","-1,36%","-11,61%"
163,Velas,VLX,"$357,276,462",$0.1682,2.124.380.663 VLX *,$9.109.730,"0,14%","-3,80%","16,95%"
164,iExec RLC,RLC,"$351,825,324",$4.39,80.070.793 RLC *,$45.940.150,"-0,80%","9,50%","9,02%"
165,Unibright,UBT,"$350,538,630",$2.34,149.999.999 UBT *,$1.609.499,"0,99%","-6,01%","-11,65%"
166,Civic,CVC,"$345,209,435",$0.5152,670.000.000 CVC *,$532.560.887,"-14,30%","12,06%","10,73%"
167,Origin Protocol,OGN,"$341,362,274",$0.9703,351.815.555 OGN *,$230.135.908,"-0,53%","-3,39%","20,22%"
168,Ardor,ARDR,"$337,703,551",$0.338,998.999.495 ARDR *,$21.764.774,"-1,32%","7,05%","6,91%"
169,ASD,ASD,"$334,999,964",$0.5071,660.615.274 ASD *,$807.349,"-0,28%","0,11%","-4,51%"
170,Status,SNT,"$332,937,723",$0.09593,3.470.483.788 SNT *,$67.052.560,"-2,16%","9,24%","6,40%"
171,Ontology Gas,ONG,"$328,623,702",$1.25,263.397.617 ONG *,$36.665.443,"-0,65%","5,92%","2,30%"
172,Verasity,VRA,"$326,582,989",$0.07306,4.470.185.346 VRA *,$81.442.767,"1,44%","-3,15%","10,34%"
173,Band Protocol,BAND,"$320,702,525",$9.11,35.191.821 BAND *,$84.705.306,"-1,95%","8,85%","4,65%"
174,aelf,ELF,"$319,437,152",$0.5867,544.480.200 ELF *,$85.749.618,"-4,23%","4,27%","1,55%"
175,PAX Gold,PAXG,"$318,301,719","$1,783.47",178.473 PAXG *,$12.029.702,"0,00%","0,09%","-0,85%"
176,Hive,HIVE,"$318,195,587",$0.8041,395.696.457 HIVE *,$44.480.976,"-1,49%","2,66%","4,44%"
177,SingularityNET,AGIX,"$316,138,705",$0.3161,1.000.000.000 AGIX *,$7.646.015,"0,20%","-1,30%","-4,99%"
178,StormX,STMX,"$315,155,338",$0.03152,10.000.000.000 STMX *,$47.638.559,"-2,15%","6,56%","3,25%"
179,MyNeighborAlice,ALICE,"$315,145,469",$13.70,23.000.000 ALICE *,$494.183.537,"-0,58%","-7,90%","17,67%"
180,Conflux,CFX,"$310,827,712",$0.3052,1.018.560.276 CFX,$18.025.766,"-0,09%","-1,61%","-7,55%"
181,NKN,NKN,"$306,925,652",$0.4385,700.000.000 NKN,$84.368.665,"-4,65%","8,49%","3,20%"
182,Ergo,ERG,"$303,819,920",$9.49,32.012.428 ERG,$3.523.104,"0,99%","-5,59%","5,70%"
183,Prometeus,PROM,"$303,560,815",$18.45,16.450.000 PROM *,$18.601.187,"0,02%","4,03%","1,26%"
184,Energy Web Token,EWT,"$297,312,294",$9.89,30.062.138 EWT *,$3.348.914,"0,78%","0,82%","1,15%"
185,Stratis,STRAX,"$291,041,074",$2.23,130.317.759 STRAX *,$42.452.896,"-1,03%","5,09%","8,06%"
186,Venus,XVS,"$290,339,264",$25.46,11.403.028 XVS *,$29.879.627,"0,16%","-1,02%","-16,34%"
187,Orchid,OXT,"$287,894,247",$0.4168,690.690.084 OXT *,$85.264.712,"-1,88%","-1,27%","-5,13%"
188,Ampleforth,AMPL,"$283,649,595",$1.80,157.999.835 AMPL *,$15.152.547,"-0,89%","2,15%","7,49%"
189,Oasis Network,ROSE,"$277,172,717",$0.1848,1.500.000.000 ROSE *,$36.751.178,"-0,26%","-2,64%","2,78%"
190,Orbs,ORBS,"$271,231,508",$0.1216,2.229.950.518 ORBS *,$19.794.955,"-0,68%","3,00%","0,66%"
191,Casper,CSPR,"$270,542,795",$0.1086,2.490.278.833 CSPR *,$25.696.937,"-0,73%","-2,81%","0,88%"
192,Augur,REP,"$269,517,129",$24.50,11.000.000 REP *,$62.634.349,"-4,25%","3,07%","3,54%"
193,Ark,ARK,"$260,402,851",$1.96,132.814.227 ARK *,$29.597.064,"-0,33%","-0,72%","-7,59%"
194,Badger DAO,BADGER,"$257,557,089",$25.04,10.285.849 BADGER *,$12.781.525,"-0,82%","-3,06%","-6,53%"
195,Constellation,DAG,"$253,633,465",$0.2002,1.266.911.931 DAG *,$3.816.745,"1,72%","0,19%","-6,45%"
196,Steem,STEEM,"$240,936,997",$0.6135,392.745.605 STEEM *,$22.454.733,"-1,32%","5,01%","5,84%"
197,Proton,XPR,"$240,914,737",$0.0287,8.394.139.717 XPR *,$22.858.478,"2,24%","-6,08%","-28,36%"
198,HUSD,HUSD,"$237,796,116",$1.00,237.688.650 HUSD *,$181.651.314,"0,04%","0,03%","0,00%"
199,MaidSafeCoin,MAID,"$237,241,404",$0.5242,452.552.412 MAID *,$1.399.990,"0,15%","-9,14%","9,27%"
200,Syntropy,NOIA,"$234,537,040",$0.4859,482.689.616 NOIA *,$3.902.477,"2,05%","19,74%","36,43%"
201,HEX,HEX,"$41,521,592,530",$0.2394,173.411.074.413 HEX *,$40.441.824,"-2,99%","11,98%","-21,60%"
202,Lido stETH,STETH,"$6,033,876,898","$4,226.62",1.427.589 STETH *,$8.237.263,"0,25%","-1,11%","5,74%"
203,SafeMoon,SAFEMOON,"$3,171,040,126",$0.000005416,585.536.366.402.812 SAFEMOON *,$80.985.027,"-0,22%","10,51%","137,49%"
204,Wrapped BNB,WBNB,"$3,026,435,461",$515.83,5.867.105 WBNB *,$2.049.247.531,"-0,12%","-1,73%","8,60%"
205,Bitcoin Cash ABC,BCHA,"$2,642,851,092",$142.30,18.572.921 BCHA *,$26.004,"-0,06%","-11,79%","-4,23%"
206,Huobi BTC,HBTC,"$2,428,580,391","$60,890.97",39.884 HBTC *,$6.076.604,"-0,04%","-1,27%","0,66%"
207,Symbol,XYM,"$2,164,811,245",$0.3882,5.576.893.752 XYM *,$32.956.994,"1,19%","6,01%","7,96%"
208,BitDAO,BIT,"$1,573,688,964",$2.68,586.278.943 BIT *,$49.555.858,"0,06%","-5,19%","22,66%"
209,Creditcoin,CTC,"$1,443,628,991",$2.56,564.970.555 CTC *,$4.009.839,"0,82%","-3,87%","-6,03%"
210,The Transfer Token,TTT,"$1,317,061,654",$12.57,104.789.396 TTT *,$978.087,"0,05%","-0,62%","1,06%"
211,NXM,NXM,"$1,076,887,803",$162.79,6.615.038 NXM *,$18.466,"0,22%","-1,10%","5,80%"
212,yOUcash,YOUC,"$1,053,450,114",$0.1573,6.696.709.142 YOUC *,$84.110,"0,11%","0,55%","-1,34%"
213,ECOMI,OMI,"$1,051,376,512",$0.006323,166.285.821.196 OMI *,$8.766.444,"0,74%","1,76%","-2,39%"
214,Kadena,KDA,"$992,704,799",$6.43,154.273.442 KDA,$19.045.264,"-0,34%","0,90%","4,46%"
215,Counos X,CCXX,"$990,206,742",$55.44,17.860.240 CCXX,$1.276.313,"1,10%","2,81%","-2,92%"
